,gold,debt,stock_t,ceiling,ratio
1966-01-01,35,320999000000.0,80289.75317593236,124.35191969893489,0.28145926564493384
1966-02-01,35,320999000000.0,80404.70757855859,124.17413408071782,0.28186224336582605
1966-03-01,35,320999000000.0,80508.6788196379,124.01377200522973,0.2822267191302272
1966-04-01,35,316097000000.0,80623.94666782345,121.94535374165453,0.2870138051684094
1966-05-01,35,316097000000.0,80735.65333034602,121.7766289228824,0.2874114705717834
1966-06-01,35,316097000000.0,80851.24614801096,121.60252519123222,0.2878229703286093
1966-07-01,35,324748000000.0,80963.26774012175,124.75770995820075,0.2805437837206736
1966-08-01,35,324748000000.0,81079.18644343798,124.57934418269873,0.28094545070546867
1966-09-01,35,324748000000.0,81195.27111270584,124.40123341628498,0.28134769277471056
1966-10-01,35,329319000000.0,81307.76936072619,125.97770110825296,0.2778269462936493
1966-11-01,35,329319000000.0,81424.18130230051,125.79759111455668,0.27822472346173543
1966-12-01,35,329319000000.0,81536.9967115906,125.62353630138401,0.2786102113542747
1967-01-01,35,330947000000.0,81653.73684813555,126.06406912680518,0.2776366036923197
1967-02-01,35,330947000000.0,81770.64412671454,125.883835652976,0.27803410833845665
1967-03-01,35,330947000000.0,81876.38165887834,125.72126561932804,0.27839363394556216
1967-04-01,35,322893000000.0,81993.60770791314,122.48631576694619,0.28574620585857313
1967-05-01,35,322893000000.0,82107.21207291617,122.31684246767124,0.2861421149687593
1967-06-01,35,322893000000.0,82224.76861209828,122.14196639411222,0.28655179733283836
1967-07-01,35,335896000000.0,82338.69325679708,126.88485837921493,0.2758406357313109
1967-08-01,35,335896000000.0,82456.58121786255,126.70345142511282,0.2762355690104188
1967-09-01,35,335896000000.0,82574.63796435337,126.52230382806415,0.2766310677330283
1967-10-01,35,344663000000.0,82689.04736251904,129.64495245493728,0.26996808851594506
1967-11-01,35,344663000000.0,82807.43694110528,129.45959940146832,0.27035461380859976
1967-12-01,35,344663000000.0,82922.16888856066,129.28047779677314,0.27072919745098284
1968-01-01,36,349473000000.0,83040.89223758092,130.8972609063636,0.275024853466967
1968-02-01,36,349473000000.0,83159.78556808854,130.71011743073814,0.2754186187544052
1968-03-01,37,349473000000.0,83271.16246215109,130.5352899577987,0.28344825381674094
1968-04-01,38,345369000000.0,83390.38548075788,128.81792794849164,0.29498999560988476
1968-05-01,41,345369000000.0,83505.92511920929,128.63969416687695,0.3187196632076335
1968-06-01,41,345369000000.0,83625.48425793022,128.45577832858444,0.3191759882932143
1968-07-01,39,354743000000.0,83741.34963210713,131.7597663301271,0.29599323895493723
1968-08-01,39,354743000000.0,83861.24583855056,131.57138973272632,0.2964170256103889
1968-09-01,40,354743000000.0,83981.31370571337,131.38328245686003,0.30445273745641177
1968-10-01,39,358029000000.0,84097.67209123098,132.4168244785713,0.2945245073922708
1968-11-01,40,358029000000.0,84218.07846035161,132.22750848683384,0.30250891405083746
1968-12-01,41,358029000000.0,84334.76488985163,132.04455717527014,0.3105012495560752
1969-01-01,42,359546000000.0,84455.51071525346,132.4144577886113,0.3171859078035838
1969-02-01,43,359546000000.0,84576.42941781184,132.2251451805243,0.32520289496595356
1969-03-01,43,359546000000.0,84685.79510792438,132.05438579597265,0.32562341448042537
1969-04-01,43,352895000000.0,84807.04351886702,129.42629502446584,0.3322354239675298
1969-05-01,43,352895000000.0,84924.54597541298,129.24721950004184,0.3326957451489785
1969-06-01,41,352895000000.0,85046.13621656763,129.0624350843506,0.3176757045782056
1969-07-01,42,360685000000.0,85163.96994252417,131.7289168909387,0.3188366001276146
1969-08-01,41,360685000000.0,85285.9029775974,131.54058439890142,0.3116908761456165
1969-09-01,41,360685000000.0,85408.01058960795,131.35252116534127,0.31213713780484537
1969-10-01,40,368226000000.0,85526.34570231293,133.9132257193045,0.2987008922019696
1969-11-01,37,368226000000.0,85648.79756684254,133.72177032658044,0.2766939138603773
1969-12-01,35,368226000000.0,85767.46629642832,133.53675153929606,0.2621001304625903
1970-01-01,35,372007000000.0,85890.26338401268,134.71504949187147,0.2598076468220565
1970-02-01,35,372007000000.0,86013.23628563668,134.52244773377203,0.26017962495944985
1970-03-01,35,372007000000.0,86124.45990916801,134.34872154612415,0.2605160629532594
1970-04-01,36,370094000000.0,86247.76812034998,133.46675957485743,0.26973008196702863
1970-05-01,36,370094000000.0,86367.26673986609,133.28209362301575,0.27010380030362424
1970-06-01,35,370094000000.0,86490.92258836256,133.09154055821864,0.262976894348066
1970-07-01,35,378678000000.0,86610.75810498209,135.99006213409376,0.2573717479847024
1970-08-01,35,378678000000.0,86734.76257087136,135.7956374937149,0.25774023853763284
1970-09-01,36,378678000000.0,86858.94457945738,135.6014908217419,0.2654838068655502
1970-10-01,38,389158000000.0,86979.29000051673,139.16148099911487,0.27306406720579307
1970-11-01,37,389158000000.0,87103.82210987511,138.96252218938093,0.266258840276198
1970-12-01,37,389158000000.0,87224.5068153875,138.77025224507295,0.26662774911338166
1971-01-01,38,391668000000.0,87349.3900125417,139.46561661925853,0.27246859061857587
1971-02-01,39,391668000000.0,87474.45201051116,139.26622298761453,0.28003918799081967
1971-03-01,39,391668000000.0,87587.56513052816,139.08637055112266,0.28040130636427196
1971-04-01,39,397305000000.0,87712.96813438351,140.88642877793092,0.27681871375611966
1971-05-01,41,397305000000.0,87834.49682821699,140.69149689710363,0.2914177537679184
1971-06-01,40,397305000000.0,87960.25337514197,140.4903506275945,0.284717062925056
