,gold,debt,stock_t,ceiling,ratio,real10,band_p10,band_p50,band_p90,pctile_20y,model_ratio
1966-01-01,35,320999000000.0,80289.75317593236,124.35191969893488,0.2814592656449338,,,,,,
1966-02-01,35,320999000000.0,80404.70757855859,124.17413408071782,0.281862243365826,,,,,,
1966-03-01,35,320999000000.0,80508.6788196379,124.01377200522973,0.2822267191302272,,,,,,
1966-04-01,35,316097000000.0,80623.94666782345,121.94535374165451,0.2870138051684094,,,,,,
1966-05-01,35,316097000000.0,80735.65333034602,121.7766289228824,0.2874114705717834,,,,,,
1966-06-01,35,316097000000.0,80851.24614801096,121.60252519123222,0.2878229703286093,,,,,,
1966-07-01,35,324748000000.0,80963.26774012175,124.75770995820076,0.2805437837206736,,,,,,
1966-08-01,35,324748000000.0,81079.18644343798,124.57934418269872,0.2809454507054686,,,,,,
1966-09-01,35,324748000000.0,81195.27111270584,124.40123341628498,0.2813476927747105,,,,,,
1966-10-01,35,329319000000.0,81307.76936072619,125.97770110825296,0.2778269462936493,,,,,,
1966-11-01,35,329319000000.0,81424.18130230051,125.79759111455668,0.2782247234617354,,,,,,
1966-12-01,35,329319000000.0,81536.9967115906,125.623536301384,0.2786102113542747,,,,,,
1967-01-01,35,330947000000.0,81653.73684813555,126.06406912680518,0.2776366036923197,,,,,,
1967-02-01,35,330947000000.0,81770.64412671454,125.883835652976,0.2780341083384566,,,,,,
1967-03-01,35,330947000000.0,81876.38165887834,125.72126561932804,0.2783936339455621,,,,,,
1967-04-01,35,322893000000.0,81993.60770791314,122.4863157669462,0.2857462058585731,,,,,,
1967-05-01,35,322893000000.0,82107.21207291617,122.31684246767124,0.2861421149687593,,,,,,
1967-06-01,35,322893000000.0,82224.76861209828,122.14196639411222,0.2865517973328383,,,,,,
1967-07-01,35,335896000000.0,82338.69325679708,126.88485837921492,0.2758406357313109,,,,,,
1967-08-01,35,335896000000.0,82456.58121786255,126.70345142511282,0.2762355690104188,,,,,,
1967-09-01,35,335896000000.0,82574.63796435337,126.52230382806415,0.2766310677330283,,,,,,
1967-10-01,35,344663000000.0,82689.04736251904,129.64495245493728,0.269968088515945,,,,,,
1967-11-01,35,344663000000.0,82807.43694110528,129.45959940146832,0.2703546138085997,,,,,,
1967-12-01,35,344663000000.0,82922.16888856066,129.28047779677314,0.2707291974509828,,,,,,
1968-01-01,36,349473000000.0,83040.89223758092,130.8972609063636,0.275024853466967,,,,,,
1968-02-01,36,349473000000.0,83159.78556808854,130.71011743073814,0.2754186187544052,,,,,,
1968-03-01,37,349473000000.0,83271.16246215109,130.5352899577987,0.2834482538167409,,,,,,
1968-04-01,38,345369000000.0,83390.38548075788,128.81792794849164,0.2949899956098847,,,,,,
1968-05-01,41,345369000000.0,83505.92511920929,128.63969416687695,0.3187196632076335,,,,,,
